"","Facetvar","Variant","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"239","K=(4, 5)","inverse_variance_weighting_optimal",3500,0.00055513709410713,0.00045103153838292,0.00065924264983134
"240","K=(4, 5)","inverse_variance_weighting_optimal",5000,0.00043903101660384,0.000356461805056472,0.000521600228151208
"241","K=(4, 5)","inverse_variance_weighting_optimal",7500,0.00038719729856515,0.000310748630720694,0.000463645966409606
"242","K=(4, 5)","inverse_variance_weighting_optimal",10000,0.00027904556849429,0.000234756556123684,0.000323334580864896
"243","K=(4, 5)","mean",50,0.0435757405726131,0.0260004970473552,0.061150984097871
"244","K=(4, 5)","mean",100,0.0174657686957236,0.0123628987101544,0.0225686386812927
"245","K=(4, 5)","mean",250,0.00556000101174561,0.00460999301285851,0.00651000901063271
"246","K=(4, 5)","mean",500,0.0046859491810535,0.00349633597608622,0.00587556238602078
"247","K=(4, 5)","mean",750,0.0033151236866327,0.00260223428713224,0.00402801308613316
"248","K=(4, 5)","mean",1000,0.00172310339497277,0.00140507699927673,0.00204112979066881
"249","K=(4, 5)","mean",2000,0.00099182507695326,0.00077589521954178,0.00120775493436474
"250","K=(4, 5)","mean",3500,0.00057835278986485,0.00046928544993455,0.00068742012979515
"251","K=(4, 5)","mean",5000,0.00047619714822086,0.000386315944812134,0.000566078351629586
"252","K=(4, 5)","mean",7500,0.00043891196563934,0.000346549637918003,0.000531274293360677
"253","K=(4, 5)","mean",10000,0.00027488723360421,0.000230066853166754,0.000319707614041666
"254","K=(4, 5)","player_4",50,0.0768188801163279,0.0416918424496763,0.111945917782979
"255","K=(4, 5)","player_4",100,0.0266151511365222,0.0192657943480043,0.03396450792504
"256","K=(4, 5)","player_4",250,0.00825286341588212,0.00672488493996822,0.00978084189179602
"257","K=(4, 5)","player_4",500,0.00493324365213527,0.00415025612341873,0.00571623118085181
"258","K=(4, 5)","player_4",750,0.00415221422573727,0.00321112004470411,0.00509330840677043
"259","K=(4, 5)","player_4",1000,0.00381450430052602,0.00321703676471417,0.00441197183633787
"260","K=(4, 5)","player_4",2000,0.00131072661934392,0.00112387963691524,0.0014975736017726
"261","K=(4, 5)","player_4",3500,0.00081356164118784,0.00066059968041266,0.00096652360196302
"262","K=(4, 5)","player_4",5000,0.00057700646717595,0.00042210405386614,0.00073190888048576
"263","K=(4, 5)","player_4",7500,0.00051556897980293,0.000421677780340774,0.000609460179265086
"264","K=(4, 5)","player_4",10000,0.00041481120154599,0.000345941441470986,0.000483680961620994
"265","K=(4, 5)","player_5",50,0.0837680877191492,0.0230766334936491,0.144459541944649
"266","K=(4, 5)","player_5",100,0.0563735281532662,0.0341040896380837,0.0786429666684488
"267","K=(4, 5)","player_5",250,0.0105967587728195,0.00813368050467948,0.0130598370409595
"268","K=(4, 5)","player_5",500,0.0131166190234463,0.00916609454103932,0.0170671435058533
"269","K=(4, 5)","player_5",750,0.00649323666259413,0.00471421178311252,0.00827226154207574
"270","K=(4, 5)","player_5",1000,0.00306937960827707,0.00243062498807072,0.00370813422848342
"271","K=(4, 5)","player_5",2000,0.0020410200148183,0.00166489225230737,0.00241714777732923
"272","K=(4, 5)","player_5",3500,0.00122035564448768,0.00102629882075313,0.00141441246822223
"273","K=(4, 5)","player_5",5000,0.00103380524055888,0.00076807076286941,0.00129953971824835
"274","K=(4, 5)","player_5",7500,0.00110839193104919,0.00085180687340133,0.00136497698869705
"275","K=(4, 5)","player_5",10000,0.0004696256663583,0.000378834292455966,0.000560417040260633
