"","Facetvar","Variant","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"66","K=(0, 2)","inverse_variance_weighting",10000,0.566232149716884,0.546964438511074,0.585499860922695
"67","K=(0, 2)","inverse_variance_weighting_optimal",50,1.85998460594051,1.12895616254011,2.59101304934091
"68","K=(0, 2)","inverse_variance_weighting_optimal",100,2.33600197729416,1.3831336411836,3.28887031340472
"69","K=(0, 2)","inverse_variance_weighting_optimal",250,0.90292339371815,0.754427223937686,1.05141956349861
"70","K=(0, 2)","inverse_variance_weighting_optimal",500,0.720660236983248,0.619993619971802,0.821326853994694
"71","K=(0, 2)","inverse_variance_weighting_optimal",750,0.66037262542639,0.599372296839709,0.721372954013071
"72","K=(0, 2)","inverse_variance_weighting_optimal",1000,0.558141229030856,0.500016778057305,0.616265680004406
"73","K=(0, 2)","inverse_variance_weighting_optimal",2000,0.568182037151567,0.533667732685606,0.602696341617528
"74","K=(0, 2)","inverse_variance_weighting_optimal",3500,0.607925854686238,0.57587346289138,0.639978246481097
"75","K=(0, 2)","inverse_variance_weighting_optimal",5000,0.560102797259837,0.534138501633195,0.58606709288648
"76","K=(0, 2)","inverse_variance_weighting_optimal",7500,0.536475181739942,0.508551839100364,0.56439852437952
"77","K=(0, 2)","inverse_variance_weighting_optimal",10000,0.560779337597338,0.54181127721215,0.579747397982526
"78","K=(0, 2)","mean",50,2.59249327185444,1.31121565133058,3.8737708923783
"79","K=(0, 2)","mean",100,1.92144199634017,1.25916859496525,2.58371539771508
"80","K=(0, 2)","mean",250,0.92778880153968,0.685718515723567,1.16985908735579
"81","K=(0, 2)","mean",500,0.798043729059948,0.65387968836523,0.942207769754666
"82","K=(0, 2)","mean",750,0.70026411186014,0.628161860712857,0.772366363007422
"83","K=(0, 2)","mean",1000,0.567086781303811,0.505683595270876,0.628489967336746
"84","K=(0, 2)","mean",2000,0.54041584333788,0.503837951807727,0.576993734868032
"85","K=(0, 2)","mean",3500,0.612447045581907,0.575607771832087,0.649286319331727
"86","K=(0, 2)","mean",5000,0.566226935318647,0.538068795309921,0.594385075327373
"87","K=(0, 2)","mean",7500,0.546486409711598,0.517870911459863,0.575101907963333
"88","K=(0, 2)","mean",10000,0.559019974172663,0.540424281733887,0.577615666611439
"89","K=(0, 2)","player_0",50,7.27737993031954,3.37534438491988,11.1794154757192
"90","K=(0, 2)","player_0",100,2.34994912333845,1.32715724190775,3.37274100476916
"91","K=(0, 2)","player_0",250,1.51740484570917,0.801972964818325,2.23283672660002
"92","K=(0, 2)","player_0",500,1.30839483214864,0.963901483845798,1.65288818045147
"93","K=(0, 2)","player_0",750,0.975736212030996,0.81426523684774,1.13720718721425
"94","K=(0, 2)","player_0",1000,0.675143229784587,0.581307557079233,0.768978902489941
"95","K=(0, 2)","player_0",2000,0.502460007381863,0.44225363473907,0.562666380024657
"96","K=(0, 2)","player_0",3500,0.660239230053394,0.592967950249702,0.727510509857087
"97","K=(0, 2)","player_0",5000,0.604310164365256,0.558606043359419,0.650014285371092
"98","K=(0, 2)","player_0",7500,0.593157047783552,0.552626598720687,0.633687496846416
"99","K=(0, 2)","player_0",10000,0.563285501492366,0.536158797837022,0.590412205147711
"100","K=(0, 2)","player_2",50,1.57299787239144,1.36554777402555,1.78044797075732
"101","K=(0, 2)","player_2",100,3.95490372932698,2.06879936579901,5.84100809285494
"102","K=(0, 2)","player_2",250,1.07244808064971,0.984139415088467,1.16075674621094
"103","K=(0, 2)","player_2",500,0.696142595087942,0.628734375699938,0.763550814475945
"104","K=(0, 2)","player_2",750,0.658392805779806,0.595981568344553,0.720804043215059
"105","K=(0, 2)","player_2",1000,0.580011601152936,0.515093754702132,0.64492944760374
"106","K=(0, 2)","player_2",2000,0.646688650066999,0.604196930803362,0.689180369330636
"107","K=(0, 2)","player_2",3500,0.615636228930512,0.581711968538477,0.649560489322547
"108","K=(0, 2)","player_2",5000,0.557529202942017,0.528158144293686,0.586900261590348
"109","K=(0, 2)","player_2",7500,0.524728623021815,0.493551809206736,0.555905436836893
"110","K=(0, 2)","player_2",10000,0.569115327746973,0.544817117085806,0.593413538408139
"111","K=(1, 3)","inverse_variance_weighting",50,1.87651894251877,1.64336688172498,2.10967100331257
"112","K=(1, 3)","inverse_variance_weighting",100,2.00251772679665,1.79139529568366,2.21364015790964
"113","K=(1, 3)","inverse_variance_weighting",250,2.02853776584874,1.88996778822332,2.16710774347416
"114","K=(1, 3)","inverse_variance_weighting",500,2.35258091573756,2.2080635450434,2.49709828643172
"115","K=(1, 3)","inverse_variance_weighting",750,2.51553428313906,2.36358426697354,2.66748429930458
"116","K=(1, 3)","inverse_variance_weighting",1000,2.38105246878848,2.29079410927821,2.47131082829875
"117","K=(1, 3)","inverse_variance_weighting",2000,2.55099191515143,2.45311967225216,2.6488641580507
"118","K=(1, 3)","inverse_variance_weighting",3500,2.75848461872587,2.68857461274076,2.82839462471098
"119","K=(1, 3)","inverse_variance_weighting",5000,2.83571165677658,2.77255218266746,2.89887113088571
"120","K=(1, 3)","inverse_variance_weighting",7500,2.83610786150927,2.78997561409624,2.8822401089223
"121","K=(1, 3)","inverse_variance_weighting",10000,2.80900636299584,2.76682143820657,2.85119128778512
"122","K=(1, 3)","inverse_variance_weighting_optimal",50,4.32294718476475,3.14099770906462,5.50489666046488
